type,director,n
Movie,Asghar Farhadi,152
Movie,Ash Brannon,30
Movie,Ashish R. Mohan,14
Movie,Ashish R. Shukla,30
Movie,Ashley York,2
Movie,Ashok Nanda,24
Movie,Ashu Trikha,18
Movie,Ashutosh Gowariker,130
Movie,Ashwin Saravanan,126
Movie,Ashwiny Iyer Tiwari,21
Movie,Asif Kapadia,33
Movie,Asim Abbasi,48
Movie,Asim Raza,24
Movie,Asri Bendacha,6
Movie,Atanu Ghosh,51
Movie,Atanu Mukherjee,12
Movie,Atharv Baluja,24
Movie,Atlee Kumar,21
Movie,Atom Egoyan,126
Movie,Atsajun Sattakovit,30
Movie,Atsuko Ishizuka,45
Movie,Attila Till,21
Movie,Atul Kale,18
Movie,Atul Malhotra,30
Movie,Aubrey Powell,18
Movie,Audu Paden,18
Movie,Augusto Matte,30
Movie,Austin Kolodney,20
Movie,Austin Stark,14
Movie,Ava DuVernay,15
Movie,Avadhoot Gupte,30
Movie,Avinash Arun,20
Movie,Avinash Das,18
Movie,Awi Suryadi,20
Movie,Ayaan Mukherji,30
Movie,Aytaç Ağırlar,18
Movie,Ayush Raina,20
Movie,Azazel Jacobs,21
Movie,Azfar Jafri,18
Movie,Aziz Ansari,1
Movie,Aziz Mirza,72
Movie,B. Unnikrishnan,16
Movie,B. V. Nandini Reddy,90
Movie,B.N. Shajeer Sha,12
Movie,BB Sasore,20
Movie,Babak Anvari,120
Movie,Baljit Singh Deo,39
Movie,Baltasar Kormákur,18
Movie,Balu Mahendra,18
Movie,Banjong Pisanthanakun,84
Movie,Barak Goodman,3
Movie,Barbara Kopple,2
Movie,Barbra Streisand,1
Movie,Barney Clay,4
Movie,Barry Avrich,1
Movie,Barry Jenkins,27
Movie,Barry Levinson,48
Movie,Barry Sonnenfeld,90
Movie,Bart Freundlich,27
Movie,Bas van Teylingen,16
Movie,Basava Shankar Eeday,15
Movie,Bassam Kurdali,4
Movie,Basu Chatterjee,42
Movie,Bauddhayan Mukherji,12
Movie,Baz Luhrmann,48
Movie,Bedabrata Pain,81
Movie,Bedran Güzel,40
Movie,Beeban Kidron,45
Movie,Bejoy Nambiar,57
Movie,Ben A. Williams,15
Movie,Ben Brewer,10
Movie,Ben C. Lucas,60
Movie,Ben Foster,20
Movie,Ben Howling,20
Movie,Ben Palmer,72
Movie,Ben Patterson,1
Movie,Ben Pluimer,3
Movie,Ben Ryder,1
Movie,Ben Shelton,15
Movie,Ben Wallis,1
Movie,Ben Wheatley,36
Movie,Ben Young,24
Movie,Benedict Andrews,42
Movie,Benjamin Arfmann,11
Movie,Benjamin Dickinson,2
Movie,Benjamin Ree,3
Movie,Benjamin Ross,16
Movie,Benjamin Turner,32
Movie,Benjamin Weill,18
Movie,Benny Chan,32
Movie,Benny Fine,14
Movie,Benny Fredman,8
Movie,Benoît Jacquot,36
Movie,Benoît Philippon,6
Movie,Benson Lee,153
Movie,Bernard Rose,32
Movie,Bernie Denk,9
Movie,Bert Marcus,7
Movie,Bette Gordon,14
Movie,Bhagyaraj,30
Movie,Bharat Jain,21
Movie,Bharat Nalluri,27
Movie,Bhushan Patel,16
Movie,Bilal Lashari,14
Movie,Bill D'Elia,2
Movie,Bill Guttentag,4
Movie,Bill Oliver,24
Movie,Bill Plympton,70
Movie,Bille August,22
Movie,Bille Woodruff,25
Movie,Billy Bob Thornton,20
Movie,Billy Ray,64
Movie,Bin Bunluerit,30
Movie,Binayak Das,10
Movie,Binu Ulahhannan,24
Movie,Birkan Pusa,16
Movie,Biswajeet Bora,21
Movie,Biyi Bandele,8
Movie,Björn Stein,20
Movie,Blair Hayes,14
Movie,Blake Harris,20
Movie,Blayne Weaver,18
Movie,Bo Burnham,4
Movie,Bo Welch,16
Movie,Bob Hercules,7
Movie,Bob Nelson,24
Movie,Bob Odenkirk,30
Movie,Bob Persichetti,24
Movie,Bobby Farrelly,24
Movie,Bobby Roth,22
Movie,Bobcat Goldthwait,3
Movie,Bolanle Austen-Peters,20
Movie,Bong Joon Ho,156
Movie,Borja Cobeaga,18
Movie,Brad Anderson,27
Movie,Brad Bird,36
Movie,Brad Peyton,56
Movie,Bradley Parker,20
Movie,Bradley Walsh,20
Movie,Brandon Camp,36
Movie,Brandon Dickerson,8
Movie,Brandon Jones,1
Movie,Brandon Somerhalder,20
Movie,Brant Sersen,16
Movie,Brendan Malloy,39
Movie,Brendan Toller,20
Movie,Brent Bonacorso,18
Movie,Brent Maddock,27
Movie,Brett Haley,30
Movie,Brett Harvey,72
Movie,Brett Ratner,57
Movie,Brian A. Miller,16
Movie,Brian Baugh,8
Movie,Brian De Palma,125
Movie,Brian Helgeland,90
Movie,Brian Klein,1
Movie,Brian Levant,41
Movie,Brian M. Conley,10
Movie,Brian Niles,2
Movie,Brian O'Malley,20
Movie,Brian Robbins,22
Movie,Brian Smith,9
Movie,Brian Smrz,21
Movie,Brian Volk-Weiss,1
Movie,Brie Larson,27
Movie,Brit McAdams,11
Movie,Brodje Wemboendja,6
Movie,Bronwen Hughes,6
Movie,Bruce Beresford,10
Movie,Bruce Gowers,1
Movie,Bruce Leddy,10
Movie,Bruce MacDonald,54
Movie,Bruce McCulloch,11
Movie,Bruce McDonald,20
Movie,Bruce Robinson,36
Movie,Bruce W. Smith,8
Movie,Bruno Ascenzo,18
Movie,Bruno Garotti,30
Movie,Bruno Stagnaro,22
Movie,Bryan Bertino,28
Movie,Bryan Buckley,50
Movie,Bryan Fogel,4
Movie,Bryan Singer,20
Movie,Buddhadev Dasgupta,21
Movie,Bunmi Ajakaiye,24
Movie,Burak Aksak,55
Movie,Burhan Qurbani,20
Movie,Buta Singh,24
Movie,Buz Wallick,18
Movie,Buzz Kulik,7
Movie,Byron Howard,55
Movie,Byun Hyuk,20
Movie,C. Fitz,2
Movie,C.J. Wallis,1
Movie,Caio Cobra,1
Movie,Cal Seville,2
Movie,Callie Khouri,12
Movie,Caradog W. James,16
Movie,Carlo Padial,18
Movie,Carlos Algara,9
Movie,Carlos Marques-Marcet,12
Movie,Carlos Therón,20
Movie,Carlos Vermut,60
Movie,Carly Stone,18
Movie,Carol Reed,18
Movie,Cary Joji Fukunaga,18
Movie,Cary Murnion,14
Movie,Caryn Waechter,12
Movie,Castille Landon,18
Movie,Cate Shortland,10
Movie,Cathy Garcia-Molina,210
Movie,Cecilia Atán,8
Movie,Cem Yılmaz,76
Movie,Chad Archibald,5
Movie,Chad Hartigan,42
Movie,Chad L. Scheifele,16
Movie,Chad Van De Keere,32
Movie,Chan-sang Lim,30
Movie,Chandan Arora,18
Movie,Chandra Barot,30
Movie,Chandra Prakash Dwivedi,30
Movie,Chandrakant Kanse,24
Movie,Chandrakant Kulkarni,84
Movie,Chandran Narikode,16
Movie,Chanon Yingyong,24
Movie,Chapman Way,4
Movie,Charles A. Nichols,26
Movie,Charles Martin Smith,20
Movie,Charles Stone III,54
Movie,Charles Walters,30
Movie,Charlie Haskell,8
Movie,Charlie McDowell,27
Movie,Charlie Siskel,1
Movie,Charlie Vaughn,22
Movie,Charlotte Zwerin,4
Movie,Chatchai Katenut,16
Movie,Chayanop Boonprakob,8
Movie,Che Sandoval,30
Movie,Cheang Pou Soi,14
Movie,Cheh Chang,60
Movie,Chester Tam,9
Movie,Cheta Chukwu,21
Movie,Chi Fat Chan,27
Movie,Chi Keung Fung,20
Movie,Chia Tang,22
Movie,Chia-Liang Liu,89
Movie,Chito S. Roño,40
Movie,Chiwetel Ejiofor,48
Movie,Chow Kwun-wai,9
Movie,Chris Baugh,30
Movie,Chris Bell,1
Movie,Chris Blake,20
Movie,Chris Bouchard,20
Movie,Chris Bould,2
Movie,Chris Buck,54
Movie,Chris Burkard,30
Movie,Chris Eigeman,9
Movie,Chris Howe,1
Movie,Chris Jenkins,72
Movie,Chris Kelly,27
Movie,Chris Koch,20
Movie,Chris McCoy,16
Movie,Chris Moukarbel,2
Movie,Chris Nahon,6
Movie,Chris Nelson,20
Movie,Chris Perkel,2
Movie,Chris Renaud,72
Movie,Chris Robinson,27
Movie,Chris Sivertson,25
Movie,Chris Smith,2
Movie,Chris Sparling,16
Movie,Chris Stokes,46
Movie,Chris Weitz,108
Movie,Chris Williams,40
Movie,Christel Gibson,9
Movie,Christian Charles,10
Movie,Christian De Vita,44
Movie,Christian Desmares,90
Movie,Christian Ditter,48
Movie,Christian Zübert,20
Movie,Christophe Honoré,27
Movie,Christopher Chambers,18
Movie,Christopher Guest,22
Movie,Christopher Loren Ewers,1
Movie,Christopher Louie,11
Movie,Christopher Martin,1
Movie,Christopher Murray,54
Movie,Christopher Nolan,72
Movie,Christopher Nolen,30
Movie,Christopher Ray,10
Movie,Christopher Smith,46
Movie,Christopher Storer,4
Movie,Chuck Russell,20
Movie,Chun Wong,8
Movie,Ciarán Foy,23
Movie,Claire Scanlon,14
Movie,Clarence Yiu-leung Fok,14
Movie,Clark Johnson,21
Movie,Claude Barras,96
Movie,Claude Lelouch,30
Movie,Clay Glen,90
Movie,Clay Kaytis,14
Movie,Clay Porter,18
Movie,Clint Eastwood,122
Movie,Clive Tonge,18
Movie,Clovis Cornillac,24
Movie,Coerte Voorhees,48
Movie,Colin Dench,1
Movie,Colin Strause,20
Movie,Colin Teague,20
Movie,Conor Allyn,16
Movie,Conrad Helten,35
Movie,Constance Marks,2
Movie,Corbin Bernsen,24
Movie,Corey Grant,36
Movie,Corey Yuen,100
Movie,Cosmo Segurson,18
Movie,Courtney Hunt,20
Movie,Craig Anderson,11
Movie,Craig Brewer,63
Movie,Craig Elrod,15
Movie,Craig Gillespie,9
Movie,Craig Goodwill,36
Movie,Craig Johnson,30
Movie,Craig Monahan,18
Movie,Craig Moss,18
Movie,Cristina Jacob,74
Movie,Curro Velázquez,30
Movie,Curtis Hanson,9
Movie,Célia Catunda,3
Movie,D Ho,6
Movie,D.B. Weiss,1
Movie,Daisuke Nishio,24
Movie,Dallas Jackson,11
Movie,Damien Leone,30
Movie,Damien O’Connor,18
Movie,Damien Piscarel,3
Movie,Damián Romay,17
Movie,Dan Bush,16
Movie,Dan Forrer,2
Movie,Dan Gilroy,16
Movie,Dan Harris,33
Movie,Dan Kwan,60
Movie,Dan Villegas,54
Movie,Dani Levy,20
Movie,Dani de la Torre,78
Movie,Daniel Alfredson,105
Movie,Daniel Benmayor,10
Movie,Daniel Burman,14
Movie,Daniel Calparsoro,14
Movie,Daniel Camenisch,20
Movie,Daniel DiMauro,1
Movie,Daniel Goldhaber,20
Movie,Daniel Gordon,2
Movie,Daniel Gray Longino,14
Movie,Daniel Lee,72
Movie,Daniel Lindsay,8
Movie,Daniel Mann,34
Movie,Daniel McCabe,1
Movie,Daniel Monzón,28
Movie,Daniel Noah,18
Movie,Daniel Raim,5
Movie,Daniel Scheinert,60
Movie,Daniel Stamm,72
Movie,Daniel Sánchez Arévalo,42
Movie,Daniel Yee Heng Chan,21
Movie,Daniela Goggi,16
Movie,Daniele Thompson,48
Movie,Danny Boyle,56
Movie,Danny J. Boyle,20
Movie,Danny Leiner,54
Movie,Dante Lam,106
Movie,Dar Gai,18
Movie,Darin Scott,24
Movie,Darren Lynn Bousman,18
Movie,Daryl Hannah,12
Movie,Dash Shaw,20
Movie,Datta Mohan Bhandare,8
Movie,Dava Whisenant,2
Movie,Dave Dorsey,20
Movie,Dave Green,24
Movie,Dave Higby,2
Movie,Dave Patten,18
Movie,David Allensworth,20
Movie,David Alvarado,5
Movie,David Ayer,36
Movie,David Batty,98
Movie,David Beier,20
Movie,David Benioff,1
Movie,David Blair,24
Movie,David Briggs,2
Movie,David Bruckner,24
Movie,David Carson,20
Movie,David Chirchirillo,24
Movie,David Cronenberg,72
Movie,David Dhawan,243
Movie,David E. Talbert,14
Movie,David Fairhead,1
Movie,David Fincher,47
Movie,David Gelb,1
Movie,David Gordon Green,16
Movie,David Grossman,40
Movie,David Guy Levy,39
Movie,David Hebditch,2
Movie,David Johndrow,1
Movie,David Koepp,8
Movie,David L. Cunningham,14
Movie,David L.G. Hughes,20
Movie,David Lam,32
Movie,David Lean,108
Movie,David Lee Miller,30
Movie,David Leveaux,36
Movie,David Lowery,12
Movie,David M. Rosenthal,20
Movie,David Mackenzie,90
Movie,David McCracken,12
Movie,David Michôd,46
Movie,David Mirkin,20
Movie,David Morris,2
Movie,David Mrnka,40
Movie,David O. Russell,24
Movie,David Pablos,66
Movie,David Palmer,33
Movie,David Pastor,24
Movie,David Paul Meyer,2
Movie,David R. Ellis,59
Movie,David Raynr,1
Movie,David Sampliner,1
Movie,David Serrano,30
Movie,David Silberg,26
Movie,David Soren,28
Movie,David Stubbs,8
Movie,David Wain,63
Movie,David Wnendt,16
Movie,David Zucker,32
Movie,Davis Guggenheim,2
Movie,Dax Shepard,33
Movie,Dean Wellins,15
Movie,Dean Wright,26
Movie,Deane Taylor,18
Movie,Debaloy Dey,16
Movie,Debra Granik,16
Movie,Dee Rees,14
Movie,Deep Joshi,21
Movie,Deepti Naval,30
Movie,Dejan Zečević,81
Movie,Demetri Martin,1
Movie,Denis Villeneuve,36
Movie,Deniz Gamze Ergüven,40
Movie,Dennie Gordon,42
Movie,Dennis Bartok,9
Movie,Dennis Dugan,20
Movie,Dennis Iliadis,12
Movie,Dennis Rovira van Boekholt,36
Movie,Dennis Widmyer,28
Movie,Denny Lu,8
Movie,Derek Cianfrance,59
Movie,Derek Hui,18
Movie,Derek Peck,2
Movie,Derek Yee,30
Movie,Destin Daniel Cretton,22
Movie,Detlev Buck,82
Movie,Devaki Singh,8
Movie,Devashish Makhija,16
Movie,Devika Bhagat,30
Movie,Devin Chanda,1
Movie,Dhanush,14
Movie,Dharmendra Suresh Desai,24
Movie,Dharmesh Darshan,60
Movie,Dhilip Kumar,9
Movie,Dibakar Banerjee,195
Movie,Diego Cohen,24
Movie,Diego Corsini,30
Movie,Diego Kaplan,15
Movie,Diego Lerman,90
Movie,Diego Luna,18
Movie,Diego Pignataro,2
Movie,Dileep Narayanan,12
Movie,Dilip Mehta,2
Movie,Dimitri Logothetis,8
Movie,Ding Sheng,27
Movie,Ding-Lin Wang,10
Movie,Dito Montiel,30
Movie,Doesjka van Hoogdalem,1
Movie,Dominic Sena,30
Movie,Don Bluth,10
Movie,Don Mancini,11
Movie,Don Michael Paul,188
Movie,Don Omope,30
Movie,Dorian Fernández-Moris,18
Movie,Doron Paz,30
Movie,Doug Hamilton,1
Movie,Doug Lefler,20
Movie,Douglas McGrath,12
Movie,Drake Doremus,66
Movie,Drew Casson,21
Movie,Drew Stone,3
Movie,Drue Metz,20
Movie,Duncan Jones,72
Movie,Dustin McKenzie,34
Movie,Dustin Nguyen,12
Movie,Dylan Bank,1
Movie,Dylan C. Brown,10
Movie,Dylan Haegens,16
Movie,Dylan Mohan Gray,2
Movie,Dylan Southern,1
Movie,Ed Gass-Donnelly,48
Movie,Ed Lilly,12
Movie,Eddie Martin,2
Movie,Edgar Wright,168
Movie,Eduardo Casanova,22
Movie,Eduardo Mendoza de Echave,40
Movie,Edward Cotterill,3
Movie,Edward Zwick,30
Movie,Edwin,60
Movie,Eeshwar Nivas,24
Movie,Ekachai Uekrongtham,24
Movie,Elaine Bogan,12
Movie,Eleonore Pourriat,15
Movie,Eli Craig,144
Movie,Eli Roth,88
Movie,Eliane Brum,3
Movie,Elisa Fuksas,18
Movie,Elisabeth Vogler,36
Movie,Elite Zexer,45
Movie,Elizabeth Banks,39
Movie,Elizabeth Wood,18
Movie,Elle Callahan,22
Movie,Elle-Máijá Tailfeathers,40
Movie,Ellen Brown,1
Movie,Elliot Hegarty,10
Movie,Elvira Lind,4
Movie,Emanuel Hoss-Desmarais,33
Movie,Emil Ben-Shimon,30
